day|type|month|dur|int%|structure
688|endurance|35|50|70|1x3000/-
689|synthesis|35|48|80|6x12/48
690|flux_stages|35|40|70|1x1980/-
691|interval|35|40|85|7x60/120
692|synthesis|35|48|80|6x12/48
693|polarized|35|60|70|1x2880/-
694|flux_stages|35|42|70|1x2160/-
695|synthesis|35|48|80|6x12/48
696|synthesis|35|48|80|6x12/48
697|interval|35|42|85|5x180/60
698|endurance|35|55|70|1x3300/-
699|synthesis|35|48|80|6x12/48
700|flux_stages|35|42|70|1x2340/-
701|time_trial|36|10|0|1x600/-
702|synthesis|36|48|80|4x15/45
703|polarized|36|60|70|1x1980/-
704|flux_stages|36|42|70|1x2160/-
705|synthesis|36|48|80|4x15/45
706|synthesis|36|48|80|4x15/45
707|interval|36|42|85|8x120/60
708|endurance|36|55|70|1x3300/-
709|synthesis|36|48|80|4x15/45
710|flux_stages|36|42|70|1x2340/-
711|interval|36|42|85|6x60/120
712|synthesis|36|48|80|4x15/45
713|polarized|36|60|70|1x3060/-
714|flux_stages|36|42|70|1x2520/-
715|synthesis|36|48|80|4x15/45
716|synthesis|36|48|80|4x15/45
717|interval|36|42|85|6x180/60
718|endurance|36|60|70|1x3600/-
719|synthesis|36|48|80|6x15/45
720|flux_stages|36|42|70|1x2700/-
